dataset_id,variable_name,issue_type,count,rate,severity,detail,recommended_action
D3,P2_9,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_10,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_11,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_12,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_13,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_14,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_15,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_16,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_17,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_18,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_19,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_20,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,P2_T,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,Age_Group,semantic_documentation_gap,1,1.0,warning,coding_not_deposited,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,Gain,semantic_documentation_gap,1,1.0,warning,partially_verified_rounding_unresolved,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D3,Loss,semantic_documentation_gap,1,1.0,warning,partially_verified_rounding_unresolved,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D4,ID,identifier_like_field,1191,1.0,high,Configured as a direct or operational identifier-like field.,Exclude or transform before any derived public release; document the decision.
D4,Attrition,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Gender,whitespace_normalization,513,0.43073047858942065,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Age,whitespace_normalization,605,0.5079764903442485,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Maritalstatus,whitespace_normalization,1164,0.9773299748110831,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Academic_degree,whitespace_normalization,456,0.38287153652392947,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Years_Experience,whitespace_normalization,483,0.40554156171284633,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Years_experience_lastorganization,whitespace_normalization,821,0.6893366918555835,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Sector,whitespace_normalization,47,0.03946263643996641,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Department,whitespace_normalization,495,0.4156171284634761,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,JobTitle,whitespace_normalization,142,0.11922753988245172,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,MonthlySalary,whitespace_normalization,542,0.4550797649034425,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Allowances,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D4,MedicalInsurance,whitespace_normalization,354,0.2972292191435768,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,OverTime,whitespace_normalization,680,0.5709487825356843,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Payment_Overtime,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Rewards&Wages_Satisfaction,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Get_ Deserved_Promotion,whitespace_normalization,695,0.5835432409739715,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Training_programs_ During_last_three_years,whitespace_normalization,1003,0.8421494542401343,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Useful_Training_Programs,whitespace_normalization,757,0.635600335852225,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Business_Travel,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Job_Support,whitespace_normalization,698,0.5860621326616289,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Recognition,whitespace_normalization,768,0.6448362720403022,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Emotional_Commitment,whitespace_normalization,967,0.8119227539882452,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Job_Engagement,whitespace_normalization,436,0.36607892527287994,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Distance_to_work,whitespace_normalization,999,0.8387909319899244,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Work_Live_Balance,whitespace_normalization,723,0.6070528967254408,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Physical_Stress,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Psychological_Exhaustion,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Job_Stability,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Health_Issues,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Environment_Satisfaction,whitespace_normalization,307,0.2577665827036104,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Job_Satisfaction,whitespace_normalization,1191,1.0,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D4,Job_Opportunities,whitespace_normalization,606,0.5088161209068011,information,Leading/trailing or non-breaking whitespace is present in the source file.,Normalize only in an analysis copy; preserve the raw file unchanged.
D5,marital status,missing_values,52,0.05456453305351522,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,Age,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,Household size,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,Income,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,Employment sector,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,SectorWorkplace transition likelihood,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,Driving Licence,missing_values,431,0.4522560335781742,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,car ownership,missing_values,736,0.7722980062959076,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,car ownership,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,driving licence process,missing_values,788,0.8268625393494229,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,private car ownership,missing_values,484,0.5078698845750262,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,rented car,missing_values,879,0.9223504721930745,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,rented car,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,family car,missing_values,727,0.7628541448058762,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,family car,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,donÕt have a car,missing_values,813,0.8530954879328436,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,donÕt have a car,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,one year,missing_values,806,0.8457502623294858,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,one year,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,two years,missing_values,598,0.6274921301154249,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,two years,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,3 years,missing_values,555,0.5823714585519413,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,3 years,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,reducing women dependency,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,icreasing women penetraion in labour market,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,faciliatating transportation to work,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,increasing employment opportunities for women,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,increasing sector employment for women,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,attaining higher working opportunities,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,increasing employment opportunities,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,improving equal opportunities,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,promoting women for higher up jobs,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,faciliatating observing start and finish times at work,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,reducing travel time,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,reducing number of forign drivers,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,improving competetion in labour market,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,vision 2023,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,vision 2023,semantic_documentation_gap,1,1.0,warning,needs_author_confirmation,Resolve with the depositor or report the limitation explicitly; do not infer code labels.
D5,speeding up of women penetration in labour market,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,reducing barriers to women,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,Very proud for the achivements,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,complete penetration of women in labour force,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,many training and facilitation opportunities,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,improving women access to finanacial opportunities,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,women taking part in decision making,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,women empowerement,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,more regulations to enable women into labour market,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,empowering women economically financillay,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,achiveing women aims in workplace,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,more confidence for women,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,equaleness in work and pay,missing_values,53,0.055613850996852045,warning,Missing values are retained as a literal category in QID equivalence calculations.,"Confirm whether missingness is structural, refusal, or data loss before substantive analysis."
D5,<dataset>,exact_duplicate_records_involved,58,0.060860440713536204,information,Count includes every row participating in an exact duplicate group.,Determine whether duplicates are expected before modeling; do not alter the raw file.
