profile_label,type,satisfiable,num_models,decision,num_flags,num_actions,singleton_bp,below_k5_bp,homogeneous_bp,sensitive,structural_identifier,free_text
s=medium_b=low_h=high_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,4,4,500,1000,5000,True,True,True
s=medium_b=high_h=low_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,2,1,500,5000,1000,False,False,False
s=medium_b=high_h=low_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,3,2,500,5000,1000,False,False,True
s=medium_b=high_h=low_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,3,2,500,5000,1000,False,True,False
s=medium_b=high_h=low_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,4,3,500,5000,1000,False,True,True
s=medium_b=high_h=low_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,2,1,500,5000,1000,True,False,False
s=medium_b=high_h=low_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,3,2,500,5000,1000,True,False,True
s=medium_b=high_h=low_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,3,2,500,5000,1000,True,True,False
s=medium_b=high_h=low_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,4,3,500,5000,1000,True,True,True
s=medium_b=high_h=high_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,2,1,500,5000,5000,False,False,False
s=medium_b=high_h=high_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,3,2,500,5000,5000,False,False,True
s=medium_b=high_h=high_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,3,2,500,5000,5000,False,True,False
s=medium_b=high_h=high_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,4,3,500,5000,5000,False,True,True
s=medium_b=high_h=high_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,3,2,500,5000,5000,True,False,False
s=medium_b=high_h=high_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,4,3,500,5000,5000,True,False,True
s=medium_b=high_h=high_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,4,3,500,5000,5000,True,True,False
s=medium_b=high_h=high_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,5,4,500,5000,5000,True,True,True
s=high_b=low_h=low_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,1,3,5000,1000,1000,False,False,False
s=high_b=low_h=low_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,2,4,5000,1000,1000,False,False,True
s=high_b=low_h=low_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,2,4,5000,1000,1000,False,True,False
s=high_b=low_h=low_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,3,5,5000,1000,1000,False,True,True
s=high_b=low_h=low_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,1,3,5000,1000,1000,True,False,False
s=high_b=low_h=low_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,2,4,5000,1000,1000,True,False,True
s=high_b=low_h=low_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,2,4,5000,1000,1000,True,True,False
s=high_b=low_h=low_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,3,5,5000,1000,1000,True,True,True
s=high_b=low_h=high_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,1,3,5000,1000,5000,False,False,False
s=high_b=low_h=high_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,2,4,5000,1000,5000,False,False,True
s=high_b=low_h=high_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,2,4,5000,1000,5000,False,True,False
s=high_b=low_h=high_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,3,5,5000,1000,5000,False,True,True
s=high_b=low_h=high_sens=True_si=False_ft=False,wellformed,True,1,restricted_review,2,4,5000,1000,5000,True,False,False
s=high_b=low_h=high_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,3,5,5000,1000,5000,True,False,True
s=high_b=low_h=high_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,3,5,5000,1000,5000,True,True,False
s=high_b=low_h=high_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,4,6,5000,1000,5000,True,True,True
s=high_b=high_h=low_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,2,3,5000,5000,1000,False,False,False
s=high_b=high_h=low_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,3,4,5000,5000,1000,False,False,True
s=high_b=high_h=low_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,3,4,5000,5000,1000,False,True,False
s=high_b=high_h=low_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,4,5,5000,5000,1000,False,True,True
s=high_b=high_h=low_sens=True_si=False_ft=False,wellformed,True,1,remediate_before_release,2,3,5000,5000,1000,True,False,False
s=high_b=high_h=low_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,3,4,5000,5000,1000,True,False,True
s=high_b=high_h=low_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,3,4,5000,5000,1000,True,True,False
s=high_b=high_h=low_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,4,5,5000,5000,1000,True,True,True
s=high_b=high_h=high_sens=False_si=False_ft=False,wellformed,True,1,remediate_before_release,2,3,5000,5000,5000,False,False,False
s=high_b=high_h=high_sens=False_si=False_ft=True,wellformed,True,1,restricted_review,3,4,5000,5000,5000,False,False,True
s=high_b=high_h=high_sens=False_si=True_ft=False,wellformed,True,1,restricted_review,3,4,5000,5000,5000,False,True,False
s=high_b=high_h=high_sens=False_si=True_ft=True,wellformed,True,1,restricted_review,4,5,5000,5000,5000,False,True,True
s=high_b=high_h=high_sens=True_si=False_ft=False,wellformed,True,1,restricted_review,3,4,5000,5000,5000,True,False,False
s=high_b=high_h=high_sens=True_si=False_ft=True,wellformed,True,1,restricted_review,4,5,5000,5000,5000,True,False,True
s=high_b=high_h=high_sens=True_si=True_ft=False,wellformed,True,1,restricted_review,4,5,5000,5000,5000,True,True,False
s=high_b=high_h=high_sens=True_si=True_ft=True,wellformed,True,1,restricted_review,5,6,5000,5000,5000,True,True,True
singleton_just_below_medium,boundary,True,1,public_candidate_after_documented_review,0,1,99,1000,1000,True,False,False
singleton_at_medium,boundary,True,1,public_candidate_after_documented_review,1,1,100,1000,1000,True,False,False
singleton_just_above_medium,boundary,True,1,public_candidate_after_documented_review,1,1,101,1000,1000,True,False,False
singleton_just_below_high,boundary,True,1,public_candidate_after_documented_review,1,1,999,1000,1000,True,False,False
singleton_at_high,boundary,True,1,remediate_before_release,1,3,1000,1000,1000,True,False,False
singleton_just_above_high,boundary,True,1,remediate_before_release,1,3,1001,1000,1000,True,False,False
below_k5_just_below_high,boundary,True,1,public_candidate_after_documented_review,0,1,50,2499,1000,True,False,False
below_k5_at_high,boundary,True,1,remediate_before_release,1,1,50,2500,1000,True,False,False
below_k5_just_above_high,boundary,True,1,remediate_before_release,1,1,50,2501,1000,True,False,False
homogeneous_just_below_high,boundary,True,1,public_candidate_after_documented_review,0,1,50,1000,2499,True,False,False
homogeneous_at_high,boundary,True,1,remediate_before_release,1,2,50,1000,2500,True,False,False
homogeneous_just_above_high,boundary,True,1,remediate_before_release,1,2,50,1000,2501,True,False,False
homogeneous_high_no_sensitive,boundary,True,1,public_candidate_after_documented_review,0,1,50,1000,5000,False,False,False
missing_singleton,malformed,False,0,,,,,,,,,
missing_below_k5,malformed,False,0,,,,,,,,,
missing_homogeneous,malformed,False,0,,,,,,,,,
duplicate_singleton,malformed,False,0,,,,,,,,,
missing_threshold_singleton_high,malformed,False,0,,,,,,,,,
invalid_threshold_ordering,malformed,False,0,,,,,,,,,
